Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Scientist, Flow Cytometry",-1,"About Allogene Therapeutics, Inc:
Allogene Therapeutics, with headquarters in South San Francisco, is a clinical-stage biotechnology company pioneering the development of allogeneic chimeric antigen receptor T cell (AlloCAR T™) therapies for cancer. Led by a management team with significant experience in cell therapy, Allogene is developing a pipeline of “off-the-shelf” CAR T cell therapy candidates with the goal of delivering readily available cell therapy on-demand, more reliably, and at greater scale to more patients. For more information, please visit www.allogene.com, and follow @AllogeneTx on Twitter and LinkedIn.
Job Description:
Allogene is seeking a highly determined, results-oriented, self-starter who demonstrates personal accountability for outcomes and is motivated by increasing levels of responsibility, to join a dynamic team responsible for successful development and characterization of clinical-scale manufacturing of Allogeneic Chimeric Antigen Receptor T-cell therapies (Allo CAR T™). The successful candidate will help to support appropriate flow cytometry-based analytical methods for the characterization, release and stability testing of CAR T products. This position will also contribute to the development of novel technologies and approaches to meet future CAR T analytical needs and work in close collaboration with key stakeholders, including the CAR T Research and Process Development groups.",5.0,"Allogene Therapeutics
5.0","South San Francisco, CA",-1,51 to 200 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),-1
Mid and Senior Level Data Scientists,-1,"Description:
Eiden Systems Corporation is seeking a Data Scientist to work in the Charlottesville, VA area. This position is responsible for development and application of data mining, analysis, aggregation, fusion, and visualization in order to process, analyze, and integrate raw data facilitating the production and dissemination of scientific and technical intelligence and general military intelligence relating to foreign ground forces research, development, systems, and operations. Focus of work is to contribute to data-driven all-source analysis, assessment, and decision making and implement innovative methodologies which enhance production and dissemination activities. Work involves ensuring data is available in actionable, standard, and usable forms and the application of intelligence principles in concert with a practical knowledge of information technology to provide direct technical mission support. Academic disciplines that generally support this mission include, but are not limited to: statistician, mathematician, and data analysis/science.",4.9,"Eiden Systems Corporation
4.9","Charlottesville, VA",-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
Senior Data Scientist,$72K - $122K (Glassdoor est.),"Are you a talented and passionate engineer? Do you love solving problems and making ideas come to life? Are you a lifelong learner who thrives in dynamic environments and enjoys the challenge of learning new technologies and techniques? Are you a team player and enjoy collaboration, but you are also self-directed and enjoy the autonomy to be able to manage your own schedule and workload? Do you appreciate the importance of good communication and know that teamwork takes practice, effort and a good attitude? If so, we want to speak with you.

The Senior Data Scientist is responsible for collaborating with the team to design and implement systems that focus on forecasting, allocating, delivering, and reporting of advertising on the internet, TV, and connected devices. The successful candidate will utilize advanced mathematical, optimization, machine-learning, software engineering, and programming skills to solve challenging problems.",3.9,"Amobee
3.9","Baltimore, MD",-1,501 to 1000 Employees,2005,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1
Decision Support Systems Data Scientist,$89K - $143K (Glassdoor est.),"About Carvana

If you like disrupting the norm and are looking for a company revolutionizing an industry then you will LOVE what Carvana has done for the car buying experience. Buying a car the old fashioned way sucks and we are working hard to make it NOT suck. At Carvana, our customers can hop online to...
Search and browse our inventory of over 20,000 vehicles that we own and certify.
Narrow down search results using highly intelligent filtering tools/components.
View vehicle details, Carfax reports, and 360 rotating studio images for every vehicle.
Secure financing in minutes using Carvana's in-house service or their own bank.
Interact with GUI components to easily customize loan length, down payment, and monthly payment.
For more information on Carvana and our mission, sneak a peek at our company introduction video or learn more about what it's like to work here from the people that already do.



We're looking for experienced data scientists and operations researchers with a passion for tackling big problems to work within our Decision Support Systems Logistics team within the larger Analytics group in Carvana. Our team is responsible for algorithms and systems that automate and optimize the movement of 15K+ per month vehicles cross-country and last mile using our 9 car hauler and single car hauler fleet. We develop, test, and maintain near real-time algorithms and systems that continuously optimize vehicle and truck movements, delivery dates promised to customers, and availability of appointments on our website.





To be able to do your job at Carvana, there are some basic requirements we want to share with you.
Of course, we'll make any reasonable accommodations for those with disabilities to perform the essential functions of their jobs.



Hiring is contingent on passing a complete background check. This role is not eligible for visa sponsorship.

Carvana is an equal employment opportunity employer. All applicants receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, marital status, national origin, age, mental or physical disability, protected veteran status, or genetic information, or any other basis protected by applicable law. Carvana also prohibits harassment of applicants or employees based on any of these protected categories.

Please note this job description is not designed to contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.",3.5,"Carvana
3.5","Tempe, AZ",-1,5001 to 10000 Employees,2013,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,-1
Data Scientist,$59K - $99K (Glassdoor est.),"About AI & Analytics: Artificial intelligence (AI) and the data it collects and analyzes will soon sit at the core of all intelligent, human-centric businesses. By decoding customer needs, preferences, and behaviors, our clients can understand exactly what services, products, and experiences their consumers need. Within AI & Analytics, we work to design the future—a future in which trial-and-error business decisions have been replaced by informed choices and data-supported strategies.

By applying AI and data science, we help leading companies to prototype, refine, validate, and scale their AI and analytics products and delivery models. Cognizant’s AIA practice takes insights that are buried in data, and provides businesses a clear way to transform how they source, interpret and consume their information. Our clients need flexible data structures and a streamlined data architecture that quickly turns data resources into informative, meaningful intelligence.

Please note, this role is not able to offer visa transfer or sponsorship now or in the future*
R , SQL 400

#LI-MS3

#CB

IND123

Full Time Employee
Day Job
No
Dec 14 2020

CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @USJobsCognizant.

Cognizant is recognized as a Military Friendly Employer and is a coalition member of the Veteran Jobs Mission. Our Cognizant Veterans Network assists Veterans in building and growing a career at Cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service.
Cognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.
If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.",3.7,"Cognizant Technology Solutions
3.7","Irving, TX",-1,10000+ Employees,1994,Company - Public,-1,-1,$10+ billion (USD),-1
Data Scientist,$94K - $155K (Glassdoor est.),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.",4.1,"Vizient, Inc.
4.1","Chicago, IL",-1,1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
Physical Scientist,$39K - $72K (Glassdoor est.),"Job Description
ENSCO Inc.’s National Security Solutions (NSS) Division is seeking a Physical Scientist. If you're eager to kick off your career and solve real problems in today's world, then this is the opportunity you've been looking for! Join our team of highly talented engineers and scientists while we provide innovative products and services vital to national safety and security. NSS develops cutting-edge solutions to unique and challenging technical problems, in complex operational constraints.
Qualifications Required (Skills)
BS degree in Physical Science or related discipline (Geophysics, Physics, Mathematics, Engineering, Computer Science) or equivalent
Minimum 3 years of relevant experience",3.7,"ENSCO, Inc.
3.7","Springfield, VA",-1,501 to 1000 Employees,1969,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
Supply Chain Data Analyst (South of Milwaukee),$65K - $79K (Employer est.),"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities",3.7,"Uline
3.7","Milwaukee, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
Business Intelligence Analyst,-1,"Business Intelligence Analyst

Objective
This position will work with the business units on a proactive basis through regular data-focused meetings to develop and provide business intelligence solutions to the company. This includes assisting by gathering requirements, implementing solutions, defining team metrics, meeting reporting needs, and facilitating adoption and user training on existing self-service platform. This role will act as a liaison to other enterprise projects to ensure that all data and analytic needs are captured as part of a project. This position will also satisfy on-demand ticket-based requests from other business units. They will also be responsible for managing the backend systems of the data and analytics platform and performing any needed updates and support for the platform.
Responsibilities",4.2,"AutomationDirect
4.2","Cumming, GA",-1,201 to 500 Employees,1994,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,-1
Product Development Scientist,$11K - $96K (Glassdoor est.),"What we do
About United Therapeutics
United Therapeutics Corporation focuses on the strength of a balanced, value-creating biotechnology model. We are confident in our future thanks to our fundamental attributes, namely our commitment to quality and innovation, the power of our brands, our entrepreneurial culture and our bioinformatics leadership. We also believe that our determination to be responsible citizens — having a positive impact on patients, the environment and society — will sustain our success in the long term.
We currently have five approved products on the market and a long-term mission of providing an unlimited supply of transplantable organs for those who need them.
Our company was founded by an entrepreneur whose daughter was diagnosed with a life-threatening condition. She sought to find treatment options and a cure for her daughter and patients like her. We are founder-led, and relentless in our pursuit of “medicines for life”. We continue to research and develop treatments for cardiovascular and pulmonary diseases, pediatric cancers and other orphan diseases.",3.5,"United Therapeutics
3.5","Research Triangle Park, NC",-1,501 to 1000 Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
Data Analyst,$33K - $59K (Glassdoor est.),"divvyDOSE is a new kind of home-delivery pharmacy in a hyper-growth phase focused on adherence packaging.

Our company is professional but fun, dedicated yet quirky. We are fast-paced, highly-motivated doctors, pharmacists, pharmacy technicians, and support staff who focus on health and wellness (and if we’re being honest, sometimes pizza) and most of us have slight obsessions with our pets. We want to make a difference in the lives of our customers by treating them like friends and family. We offer a work-hard, play-hard environment with competitive pay and a comprehensive benefit plan.

Vision/Mission

Our vision is to fix and reimagine healthcare for everyone. Our mission is to engage customers by fixing all the problems around getting and taking their medications. We've taken the first step by simplifying adherence.

We’re now part of Optum and the UnitedHealth Group family of businesses, backed by the resources of a global health organization working to help people live healthier lives and to help make the health system work better for everyone. Are you looking for a way to create next-level results with a human-level approach? Then look at opportunities with divvyDOSE, where changing the world is just one result of doing your life’s best work.SM

About the job:

Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.



Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Data Analyst

Full-time

Exempt



In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.



Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.



In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.",4.0,"divvyDOSE
4.0","Moline, IL",-1,201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Data Scientist I,$64K - $108K (Glassdoor est.),"Description
ReaderLink. We Link. Publishers. Books. Retailers. Customers.
We are North America’s largest book distributor with over 70,000 customer store locations. We move over 325,000,000 books per year and work with over 700 retailers and 500 publishers. If you want to end every day knowing that you helped deliver a book into the hands of readers across America, let’s talk.
The Data Scientist role will allow you to grow your data engineering prowess and expand your knowledge of best practices in the Data Science community. You will thrive in an environment where not all ingenuity and creativity have been solved before you’ll have a say in the development of a solution. Using your understanding of data mining and forecast modeling, you’ll navigate this industry to give cutting edge results that lead to process change and improved technological understanding within our industry.


:",2.4,"ReaderLink
2.4","Oak Brook, IL",-1,1001 to 5000 Employees,2011,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$1 to $2 billion (USD),-1
Data Architect,$58K - $99K (Glassdoor est.),"Data Architect needed for Enterprise Software Development



What you’ll do:

We are looking for a savvy Data Architect to join our team of analytics experts. This role will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The Data Architect will support our software developers, work with data engineers, data analysts and data scientists on data initiatives and will ensure our data architecture is consistent throughout ongoing projects.

Responsibilities:


This position can be based from home anywhere in the US.





At Tangoe our vision is to empower our customers to deploy and manage their IT assets and services using our leading technology, great people, and global reach so they can focus on delivering their core business faster, better, and smarter. Our breadth of solutions, depth of services, and range of experience deliver the most robust IT and Expense Management platform in the market. In other words, we’re really rather fabulous, and Gartner rates us as“Visionary”!



A competitive salary, along with a whole stack of other benefits too! We're ambitious, friendly, driven, and passionate. If you want to be a part of a like-minded team in an evolving, challenging marketplace, then it’s worth us having a chat!





Tangoe reaffirms its commitment to providing equal opportunities for employment and advancement to qualified employees and applicants. Individuals will be considered for positions for which they meet the minimum qualifications and are able to perform without regard to race, color, gender, age, religion, disability, national origin, veteran status, sexual orientation, gender identity, current unemployment status, or any other basis protected by federal, state or local laws. Tangoe is an Equal Opportunity Employer - Minority/Female/Disability/Veteran/Current Unemployment Status.

Tangoe is committed to working with and providing reasonable accommodation to individuals with physical and mental disabilities. If you need special assistance or an accommodation while seeking employment, please call (973) 257-0300. We will make a determination on your request for reasonable accommodation on a case-by-case basis.

The law requires Tangoe to post a notice describing the Federal laws prohibiting job discrimination. For information regarding your legal rights and protections, please visit Tangoe’s career page athttps://www.tangoe.com/company/careers/.

As a Federal Contractor, Tangoe is required to participate in the E-Verify Program to confirm eligibility to work in the United States. For information please visit Tangoe’s career page athttps://www.tangoe.com/company/careers/.

Tangoe will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay. For information please visit Tangoe’s career page athttps://www.tangoe.com/company/careers/.

Tangoe prefers to recruit candidates directly, rather than through a third party recruiter or agency. Do not submit or present your candidate(s) through any means (e-mail, fax, phone, mail, verbal referral) to Tangoe or any employee of Tangoe. In the case of candidate(s) submitted or presented to Tangoe by a recruiter or agency without a signed agreement in place for the specific position or without a specific open requisition, Tangoe explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. To request consideration as a Recruiting Vendor, please contact our recruiting department.",3.1,"Tangoe
3.1","Indianapolis, IN",-1,1001 to 5000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Sr. Scientist/Scientist Computational Chemistry,-1,"Within every human cell, nature has engineered finely-tuned control mechanisms to correct imbalances caused by stress and disease and promote healing.At HotSpot Therapeutics, nature is inspiring us to create a wave of new medicines.
Through a proprietary technology platform, we are uncovering privileged allosteric sites used by nature to control proteins – called regulatory hotspots- that can be exploited through small molecule drug discovery. Regulatory hotspots are allowing sought-after targets to be drugged for the first time while delivering molecules with exquisite selectivity and attractive drug-like properties.
HotSpot is supported by a syndicate of leading healthcare investors based in the US and Europe.
You will be joining a seasoned team of drug hunters with an excellent track record in drug discovery. As a HotSpotter, you are comfortable thinking outside the box and breaking convention. You are curious about the world and contribute beyond your precise role description. You are action orientated and extraordinary at getting things done. You communicate openly with your colleagues and you hate office politics.",-1,HotSpot Therapeutics,"Boston, MA",-1,-1,-1,-1,-1,-1,-1,-1
Senior Scientist – Bioanalytical and Pharmacokinetics,-1,"Arcellx (http://www.arcellx.com/) is a venture-backed, early-stage biotech company focused on the development of novel cell-based cancer therapies. The company is located in Gaithersburg, Maryland and has assembled a team of biotechnology professionals with expertise in biologics discovery, characterization, and development. Lead products will incorporate proprietary technologies that enhance tumor-specific killing by genetically engineered human immune cells.
Primary Objective
The Senior Scientist position is open to highly motivated and innovative candidates with a Ph.D. degree, a successful post-doctoral fellowship and 7+ years of experience working in the biotechnology or pharmaceutical industry setting. The incumbent will be part of the Biomarker and Bioanalysis Group within Translational Sciences responsible for biomarker strategies for clinical trials.
MAIN ACCOUNTABILITIES:",-1,Arcellx,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1,-1,-1
